-,-,-
-24, 1, 1033
-24, 1, 1033
-21, 1, 1031
-23, 1, 1031
-22, 0, 1031
-22, 0, 1031
-16, -4, 1030
-24, 1, 1030
-21, 0, 1031
-21, 0, 1031
-22, 1, 1031
-25, 3, 1031
-16, -3, 1031
-15, -6, 1030
-15, -6, 1030
-16, -5, 1031
-25, 1, 1030
-21, 1, 1030
-37, 15, 1031
-37, 15, 1031
-24, 3, 1031
-29, 5, 1030
-26, 4, 1030
-26, 4, 1030
-24, 2, 1031
-23, 1, 1030
-22, 1, 1030
-22, 1, 1030
-22, 0, 1031
-23, 1, 1029
-23, 1, 1030
-23, 1, 1031
-23, 1, 1031
-24, 2, 1029
-22, 1, 1030
-33, 12, 1031
-33, 12, 1031
-24, 4, 1030
-16, 0, 1030
-17, -5, 1029
-19, -4, 1028
-19, -4, 1028
-23, 0, 1029
-22, 0, 1027
-22, 0, 1026
-22, 0, 1026
-22, 1, 1027
-23, 1, 1026
-23, 0, 1026
-22, 0, 1026
-22, 0, 1026
-22, 1, 1029
-22, 1, 1027
-22, 0, 1030
-22, 0, 1030
-22, 0, 1028
-22, 1, 1030
-22, 0, 1030
-22, 0, 1030
-22, 0, 1030
-22, 1, 1030
-23, 1, 1031
-23, 1, 1031
-23, 0, 1030
-22, 0, 1030
-22, 1, 1030
-22, 1, 1030
-22, 1, 1030
-23, 0, 1031
-21, 1, 1031
-21, 1, 1031
-23, 0, 1032
-22, 1, 1031
-22, 0, 1031
-23, 0, 1031
-23, 0, 1031
-22, 1, 1033
-22, 1, 1031
-23, 0, 1030
-23, 0, 1030
-22, 0, 1031
-23, -1, 1031
