-,-,-
-989, -34, 263
-964, -20, 232
-990, -54, 270
-991, -20, 315
-991, -20, 315
-971, -6, 279
-948, 52, 246
-978, 212, 295
-1038, 401, 432
-1118, 677, 600
-1171, 962, 779
-1051, 1196, 661
-943, 995, 490
-943, 995, 490
-837, 552, 295
-785, 110, 201
-794, -334, 208
-744, -745, -12
-811, -995, 6
-898, -1092, 102
-892, -958, 91
-908, -750, 138
-928, -538, 227
-928, -538, 227
-844, -427, 135
-815, -470, 107
-845, -459, 130
-868, -427, 110
-884, -407, 90
-900, -429, 74
-,-,-
-946, -71, 245
-946, -71, 245
-1003, -69, 337
-979, -44, 321
-971, -40, 310
-953, 13, 266
-971, 105, 285
-998, 190, 322
-998, 190, 322
-1020, 270, 349
-1076, 429, 451
-1166, 769, 590
-1244, 1207, 737
-1173, 1418, 692
-990, 1273, 472
-865, 900, 348
-827, 551, 394
-774, 191, 419
-688, -331, 241
-642, -777, 98
-642, -777, 98
-660, -1064, 68
-713, -1141, 113
-800, -1121, 154
-926, -965, 272
-956, -831, 277
-933, -731, 220
-951, -656, 224
-911, -583, 152
-848, -452, 47
-856, -329, 42
-,-,-
-975, -40, 250
-1000, -40, 264
-943, -47, 85
-1028, -22, 256
-1074, -31, 334
-1074, -31, 334
-1102, 87, 408
-1057, 381, 389
-1121, 719, 555
-1157, 1042, 680
-1124, 1353, 730
-1025, 1480, 667
-826, 1348, 399
-699, 1028, 246
-715, 555, 245
-672, 180, 153
-630, -183, 68
-630, -183, 68
-746, -794, 131
-784, -1223, -32
-949, -1129, 107
-1048, -1089, 186
-1041, -1072, 160
-1032, -1139, 126
-1059, -997, 171
-1014, -693, 151
-910, -472, 62
-878, -281, 45
-883, -159, 46
-784, -137, -31
-,-,-
-1007, 57, 262
-1042, -20, 313
-994, 9, 263
-994, 9, 263
-989, 99, 242
-1011, 256, 302
-1100, 412, 478
-1134, 678, 571
-1214, 991, 730
-1215, 1261, 731
-1196, 1309, 643
-1132, 1143, 536
-998, 888, 379
-998, 888, 379
-946, 628, 377
-926, 275, 433
-671, -74, 144
-539, -419, -42
-599, -735, 51
-656, -1026, 133
-813, -1325, 209
-848, -1347, 158
-966, -1345, 224
-1038, -1290, 199
-1116, -1039, 230
-1099, -721, 211
-,-,-
-941, -92, 240
-1026, -115, 305
-1043, -130, 324
-999, -68, 250
-999, -68, 250
-1026, -36, 272
-1098, 66, 362
-1207, 372, 488
-1411, 936, 763
-1622, 1494, 1134
-1434, 1960, 1027
-1095, 1997, 728
-957, 1965, 757
-766, 1411, 731
-419, 224, 394
-169, -1027, 5
-73, -1871, -310
-214, -1998, -376
-598, -1998, -30
-782, -1962, 88
-966, -1639, 244
-1037, -1170, 263
-1049, -656, 264
-1036, -240, 196
-1044, 45, 171
-,-,-
-949, -90, 188
-825, -47, -77
-893, -12, 61
-1026, -44, 247
-1026, -44, 247
-1096, -36, 354
-1038, 37, 261
-999, 184, 143
-1092, 358, 266
-1230, 686, 473
-1344, 1127, 630
-1357, 1398, 662
-1266, 1486, 584
-1250, 1375, 609
-1238, 1118, 604
-1141, 821, 585
-870, 524, 460
-594, 178, 286
-594, 178, 286
-398, -301, 92
-308, -774, 74
-214, -1321, -134
-248, -1502, -202
-508, -1650, 32
-640, -1742, 28
-884, -1691, 243
-1034, -1520, 331
-951, -1273, 155
-909, -928, 68
-914, -579, 113
-,-,-
-1008, -72, 194
-1059, -10, 331
-1070, 52, 353
-984, 140, 243
-1065, 283, 384
-1065, 283, 384
-1135, 610, 458
-1250, 1003, 553
-1369, 1343, 750
-1244, 1525, 645
-1111, 1451, 520
-1037, 1131, 489
-1064, 791, 682
-882, 486, 614
-644, 111, 408
-512, -380, 298
-464, -815, 249
-401, -1241, 44
-426, -1591, -107
-638, -1680, 12
-731, -1452, 44
-731, -1452, 44
-844, -1364, 88
-,-,-
-941, 109, 249
-941, 109, 249
-991, 83, 281
-1067, 128, 366
-1056, 200, 347
-1005, 379, 320
-1043, 694, 399
-1171, 1035, 638
-1175, 1139, 667
-1148, 1011, 600
-1118, 738, 494
-1164, 452, 535
-1196, 209, 585
-1087, 53, 443
-1087, 53, 443
-1000, -139, 363
-929, -280, 324
-773, -475, 152
-669, -660, 37
-606, -782, 0
-545, -857, -122
-565, -895, -78
-591, -1014, -93
-,-,-
-1034, 114, 379
-1034, 114, 379
-1004, 106, 347
-969, 140, 298
-954, 210, 293
-974, 374, 349
-1024, 663, 467
-1054, 1041, 574
-1087, 1387, 680
-1024, 1542, 671
-930, 1495, 619
-796, 1314, 462
-847, 1029, 577
-856, 680, 642
-856, 680, 642
-814, 274, 488
-848, -161, 377
-773, -482, 184
-635, -532, 14
-625, -619, 118
-615, -937, 57
-694, -1125, 126
-814, -1355, 201
-911, -1523, 240
-996, -1574, 280
-,-,-
-1046, 51, 268
-1053, 98, 291
-1048, 179, 310
-1057, 241, 329
-1036, 355, 302
-1012, 591, 337
-1018, 928, 433
-1050, 1195, 555
-999, 1367, 554
-878, 1438, 413
-878, 1438, 413
-837, 1259, 354
-839, 939, 363
-813, 568, 354
-798, 265, 351
-770, -75, 355
-654, -401, 240
-599, -717, 174
-641, -967, 171
-622, -1097, 77
-647, -1165, 85
-647, -1165, 85
-799, -1350, 236
-751, -1386, 97
-,-,-
-976, 130, 209
-1039, 141, 313
-1013, 221, 301
-970, 303, 280
-1106, 452, 517
-1260, 759, 801
-1256, 1009, 824
-1178, 1133, 734
-1118, 1184, 663
-1028, 1132, 555
-864, 910, 390
-628, 623, 126
-628, 623, 126
-613, 270, 60
-666, -251, 86
-572, -686, -104
-540, -1020, -231
-547, -1247, -325
-793, -1170, -56
-1097, -1073, 215
-1192, -1056, 205
-,-,-
-975, -74, 190
-975, -74, 190
-1061, -24, 371
-1043, 31, 316
-960, 77, 137
-1008, 185, 185
-1107, 325, 352
-1131, 445, 399
-1141, 673, 454
-1100, 983, 471
-1100, 983, 471
-1035, 1129, 460
-934, 1112, 387
-845, 986, 295
-831, 805, 319
-866, 602, 356
-923, 401, 411
-904, 208, 388
-864, 0, 327
-864, 0, 327
-884, -306, 317
-961, -488, 335
-898, -647, 220
-873, -919, 135
-844, -1080, -22
-915, -1082, 13
-943, -970, 38
-981, -932, 36
-981, -932, 36
-1066, -753, 114
-1093, -551, 173
-1096, -351, 185
-,-,-
-1023, 153, 255
-1023, 153, 255
-963, 130, 175
-944, 143, 170
-974, 242, 293
-1053, 468, 514
-1082, 903, 639
-1139, 1326, 740
-1105, 1391, 676
-1030, 1236, 557
-968, 1008, 470
-907, 760, 448
-848, 431, 397
-848, 431, 397
-811, 109, 367
-725, -301, 247
-646, -692, 129
-652, -997, 68
-744, -1251, 89
-926, -1368, 198
-989, -1298, 180
-1005, -1294, 141
-966, -1201, 38
-,-,-
-905, 100, 173
-951, 186, 194
-951, 186, 194
-952, 287, 221
-1019, 372, 320
-1078, 479, 401
-1147, 727, 485
-1212, 1051, 582
-1160, 1261, 579
-996, 1379, 492
-821, 1334, 345
-749, 1133, 298
-738, 701, 352
-621, 204, 288
-621, 204, 288
-579, -94, 254
-526, -454, 214
-579, -1112, 39
-778, -1555, 83
-896, -1559, 92
-1039, -1215, 299
-914, -936, 178
-757, -854, 15
-829, -738, 68
-1031, -670, 268
-1062, -782, 251
-1049, -809, 201
-1145, -903, 253
-,-,-
-1046, 88, 329
-996, 107, 245
-996, 107, 245
-993, 86, 253
-1065, 129, 342
-1048, 261, 310
-1127, 395, 427
-1117, 648, 432
-1084, 999, 453
-1098, 1326, 566
-1065, 1534, 594
-982, 1490, 565
-897, 1180, 544
-891, 770, 664
-891, 770, 664
-724, 227, 542
-566, -296, 363
-555, -656, 372
-500, -916, 229
-594, -1172, 217
-813, -1408, 351
-900, -1456, 297
-893, -1374, 164
-930, -1344, 157
-991, -1207, 187
-1020, -986, 184
-989, -792, 162
-888, -599, 54
-,-,-
-997, 147, 170
-959, 109, 264
-1021, 104, 296
-1043, 104, 284
-997, 109, 202
-1026, 233, 274
-1026, 233, 274
-1054, 444, 339
-1101, 832, 452
-1081, 1230, 484
-1044, 1471, 530
-960, 1515, 480
-862, 1413, 375
-822, 1093, 355
-756, 698, 347
-651, 291, 283
-712, -90, 348
-634, -426, 250
-634, -426, 250
-533, -813, 76
-642, -953, 135
-822, -1073, 261
-945, -1307, 314
-1137, -1528, 362
-1190, -1329, 293
-1175, -957, 250
-,-,-
-1124, 59, 378
-1037, 78, 347
-962, 142, 223
-945, 291, 219
-945, 291, 219
-1009, 395, 303
-1062, 489, 385
-1097, 683, 448
-1132, 835, 524
-1059, 939, 484
-944, 1000, 396
-861, 1020, 356
-809, 963, 346
-744, 723, 280
-716, 475, 268
-716, 475, 268
-743, 283, 368
-682, -80, 249
-763, -395, 247
-936, -706, 382
-867, -934, 219
-879, -1165, 124
-1054, -1167, 284
-987, -938, 200
-963, -718, 176
-974, -558, 208
-1055, -529, 334
-1001, -520, 279
-993, -511, 258
-,-,-
-944, 188, 235
-952, 277, 241
-952, 277, 241
-1013, 422, 372
-1035, 603, 441
-1049, 753, 517
-1005, 1025, 524
-1033, 1382, 609
-1011, 1562, 672
-823, 1531, 563
-654, 1429, 460
-702, 1161, 663
-713, 640, 797
-510, -46, 532
-537, -780, 435
-537, -780, 435
-709, -1512, 429
-995, -1869, 523
-1126, -1798, 438
-1121, -1556, 334
-1117, -1344, 361
-1020, -1112, 235
-956, -724, 171
-893, -428, 115
-821, -179, 45
-,-,-
-935, 140, 68
-966, 204, 99
-966, 204, 99
-973, 236, 162
-1021, 391, 307
-1090, 791, 629
-1158, 1364, 937
-1009, 1822, 911
-793, 1929, 700
-604, 1763, 480
-533, 1335, 464
-554, 513, 492
-537, -481, 214
-537, -481, 214
-530, -1213, -61
-639, -1601, -102
-904, -1878, 40
-1078, -1763, 143
-1084, -1560, 172
-1126, -1495, 201
-1080, -1085, 162
-1009, -652, 148
-,-,-
-904, 59, 168
-972, -4, 178
-972, -4, 178
-1015, -33, 255
-1035, 18, 290
-1045, 232, 349
-1098, 653, 527
-1139, 1169, 725
-1196, 1428, 869
-1151, 1421, 860
-1100, 1272, 838
-964, 1067, 730
-781, 709, 498
-587, 237, 134
-587, 237, 134
-477, -156, -116
-582, -408, 33
-633, -676, 25
-465, -759, -195
-643, -848, 38
-951, -1035, 366
-993, -1095, 370
-1022, -1092, 367
-989, -986, 330
-1164, -958, 472
-1163, -798, 405
-1093, -619, 299
-1104, -493, 301
-,-,-
-1021, 241, 289
-968, 183, 185
-1019, 185, 237
-964, 252, 194
-964, 252, 194
-939, 466, 252
-1024, 890, 481
-1073, 1246, 644
-980, 1631, 708
-750, 1930, 655
-531, 1749, 497
-388, 1300, 377
